Instrument,Close Price,Open Price,VWAP,Low Price,High Price,Date
NVDA.O,195.33,185.405,189.6603,183.91,195.74,2022-05-02
NVDA.O,196.02,194.0,195.1802,191.33,198.25,2022-05-03
NVDA.O,203.34,199.23,194.9154,187.51,204.0,2022-05-04
NVDA.O,188.44,198.67,189.4319,185.0,199.25,2022-05-05
NVDA.O,186.75,187.36,187.5662,179.9,195.12,2022-05-06
NVDA.O,169.5,180.34,173.9362,168.27,182.55,2022-05-09
NVDA.O,175.95,176.89,176.0333,170.25,181.98,2022-05-10
NVDA.O,166.3,173.47,171.2574,165.68,177.53,2022-05-11
NVDA.O,161.75,162.191,160.6514,155.67,167.88,2022-05-12
NVDA.O,177.06,167.88,174.9219,165.925,179.2843,2022-05-13
NVDA.O,172.64,175.09,174.4684,171.06,177.88,2022-05-16
NVDA.O,181.77,180.74,180.1299,176.34,183.71,2022-05-17
NVDA.O,169.38,177.05,173.7589,168.64,181.18,2022-05-18
NVDA.O,171.24,169.37,172.8918,167.3405,176.87,2022-05-19
NVDA.O,166.94,173.32,163.6936,157.55,174.1,2022-05-20
NVDA.O,168.98,162.74,166.3985,161.7901,169.15,2022-05-23
NVDA.O,161.54,165.1,161.1747,157.8,165.97,2022-05-24
NVDA.O,169.75,160.2,166.8448,160.0,171.1099,2022-05-25
NVDA.O,178.51,160.36,174.9953,160.22,180.92,2022-05-26
NVDA.O,188.11,181.86,185.6891,181.0,188.81,2022-05-27
NVDA.O,186.72,189.8,187.5268,183.5,192.0,2022-05-31
NVDA.O,183.2,187.24,185.4537,181.22,190.5318,2022-06-01
NVDA.O,195.92,182.92,192.0927,181.98,196.19,2022-06-02
NVDA.O,187.2,190.815,188.6497,185.2156,193.323,2022-06-03
NVDA.O,187.86,191.39,189.0833,185.642,193.37,2022-06-06
NVDA.O,189.26,184.72,187.2419,181.88,190.0,2022-06-07
NVDA.O,186.48,187.99,188.1331,185.35,191.8,2022-06-08
NVDA.O,180.48,184.81,185.2372,180.41,189.33,2022-06-09
NVDA.O,276.04,289.49,283.0142,275.33,294.16,2022-01-05
NVDA.O,281.78,276.4,279.5271,270.65,284.3799,2022-01-06
NVDA.O,272.47,281.41,275.1329,270.57,284.22,2022-01-07
NVDA.O,274.0,265.81,263.7275,256.4384,274.69,2022-01-10
NVDA.O,278.17,273.225,275.415,268.39,280.65,2022-01-11
NVDA.O,279.99,280.665,280.7883,276.08,285.95,2022-01-12
NVDA.O,265.75,283.79,271.3842,264.98,284.8,2022-01-13
NVDA.O,269.42,263.0,267.901,262.1001,271.969,2022-01-14
NVDA.O,259.03,262.6,261.2884,257.7,266.38,2022-01-18
NVDA.O,250.67,260.79,256.2369,250.52,265.4317,2022-01-19
NVDA.O,241.5,253.04,249.7838,240.78,255.7904,2022-01-20
NVDA.O,233.74,235.07,238.2586,232.63,248.23,2022-01-21
NVDA.O,233.72,223.3,221.07,208.88,233.8,2022-01-24
NVDA.O,223.24,225.46,224.3736,220.0,229.43,2022-01-25
NVDA.O,227.72,232.4,232.4368,223.0,240.57,2022-01-26
NVDA.O,219.44,235.68,224.2009,216.75,239.95,2022-01-27
NVDA.O,228.4,220.1215,221.0257,212.96,228.58,2022-01-28
NVDA.O,244.86,231.82,239.2868,230.52,245.09,2022-01-31
NVDA.O,246.38,251.04,243.5838,238.9001,251.45,2022-02-01
NVDA.O,252.42,257.94,251.4876,245.5301,258.17,2022-02-02
NVDA.O,239.48,244.58,244.3022,237.8,250.77,2022-02-03
NVDA.O,243.19,239.72,242.2935,236.32,246.35,2022-02-04
NVDA.O,247.28,243.72,247.6664,242.02,251.82,2022-02-07
NVDA.O,251.08,243.59,247.297,239.8,252.3,2022-02-08
NVDA.O,267.05,256.22,262.077,253.53,267.25,2022-02-09
NVDA.O,258.24,259.95,263.1699,256.0,269.2499,2022-02-10
NVDA.O,239.49,259.16,246.8932,237.73,261.52,2022-02-11
NVDA.O,242.67,239.34,243.6926,237.55,248.75,2022-02-14
NVDA.O,264.95,249.49,260.2192,247.84,265.45,2022-02-15
NVDA.O,265.11,262.59,261.1237,255.52,265.82,2022-02-16
NVDA.O,245.07,256.3,246.669,241.65,257.85,2022-02-17
NVDA.O,236.42,246.675,237.2494,231.0,249.86,2022-02-18
NVDA.O,233.9,230.35,234.483,230.0,240.6399,2022-02-22
NVDA.O,223.87,238.02,230.4529,223.01,241.5499,2022-02-23
NVDA.O,237.48,210.15,225.2309,208.9,238.0,2022-02-24
NVDA.O,241.57,237.21,238.7553,233.81,242.17,2022-02-25
NVDA.O,243.85,239.92,241.771,237.0701,246.65,2022-02-28
NVDA.O,234.77,242.91,236.3634,231.32,243.77,2022-03-01
NVDA.O,242.2,237.56,240.2748,234.15,244.09,2022-03-02
NVDA.O,237.14,242.615,238.4345,234.69,243.2599,2022-03-03
NVDA.O,210.75,210.92,211.5184,209.72,213.22,2021-10-07
NVDA.O,208.31,211.01,209.5339,207.75,212.06,2021-10-08
NVDA.O,206.95,205.75,208.8222,205.11,210.63,2021-10-11
NVDA.O,206.71,208.275,207.4981,205.28,210.57,2021-10-12
NVDA.O,209.39,209.18,208.672,207.13,209.9,2021-10-13
NVDA.O,217.46,212.88,215.264,211.2201,217.55,2021-10-14
NVDA.O,218.62,218.1,218.1985,216.62,219.31,2021-10-15
NVDA.O,222.22,217.49,221.1665,216.44,222.91,2021-10-18
NVDA.O,222.9,222.76,222.4039,220.37,223.79,2021-10-19
NVDA.O,221.03,223.045,221.9007,219.82,224.33,2021-10-20
NVDA.O,226.92,220.97,225.0066,220.83,227.11,2021-10-21
NVDA.O,227.26,228.23,228.2975,225.61,231.3,2021-10-22
NVDA.O,231.66,229.73,230.8286,227.7,233.5499,2021-10-25
NVDA.O,247.17,239.89,247.3076,239.24,252.59,2021-10-26
NVDA.O,244.51,244.74,247.1167,242.8201,250.9,2021-10-27
NVDA.O,249.41,248.78,247.5001,245.23,249.5,2021-10-28
NVDA.O,255.67,250.005,254.5584,250.0,257.09,2021-10-29
NVDA.O,258.27,256.49,256.6562,252.27,258.94,2021-11-01
NVDA.O,264.01,258.22,262.9984,258.0,266.78,2021-11-02
NVDA.O,265.98,266.7,264.6486,262.35,267.84,2021-11-03
NVDA.O,298.01,272.29,295.1988,271.18,313.65,2021-11-04
NVDA.O,297.52,301.87,304.657,294.1,314.0,2021-11-05
NVDA.O,308.04,301.49,306.4469,299.07,311.0,2021-11-08
NVDA.O,306.57,322.82,310.4025,299.64,323.1,2021-11-09
NVDA.O,294.59,293.56,297.9907,287.78,308.5,2021-11-10
NVDA.O,303.9,304.68,302.068,297.7701,305.9,2021-11-11
NVDA.O,303.9,300.1,302.3817,296.3,306.8,2021-11-12
NVDA.O,300.25,305.52,298.5109,292.47,306.44,2021-11-15
NVDA.O,302.03,297.59,300.6366,297.0587,303.9,2021-11-16
NVDA.O,292.61,304.18,295.4334,288.0,305.09,2021-11-17
NVDA.O,316.75,323.67,320.1137,313.21,327.6,2021-11-18
NVDA.O,329.85,322.43,326.916,319.05,330.88,2021-11-19
NVDA.O,319.56,335.17,332.5824,319.0,346.47,2021-11-22
NVDA.O,317.46,315.35,315.0086,308.8,323.6,2021-11-23
NVDA.O,326.74,314.61,321.6463,309.28,328.55,2021-11-24
